,campania,anio,sec_campania,texto_folleto,lugar_folleto,imagen_folleto,imagen_especificacion_folleto,vineta_especificacion_folleto,vineta_extendida_folleto,plataforma,estrategia,promocion,descripcion_promocion,criterio_corporativo,pedidos,Num_Prod_x_Campania,Nuevo_Prod_en_Campania
163238,2013,2020,13,False,Página,False,False,False,False,No Aplica,Power,Promo,True,Top País,3119.0,4627,True
167993,2014,2020,14,False,Media página,False,False,False,False,No Aplica,No Aplica,Regular,True,Top País,534.0,4891,True
172798,2015,2020,15,True,Media página,False,False,False,False,Plataforma inicial,Power,Promo,True,Top País,636.0,4945,True
177845,2016,2020,16,True,Media página,False,False,False,False,No Aplica,No Aplica,Regular,True,Top País,646.0,5170,True
182943,2017,2020,17,True,Media página,False,False,False,False,No Aplica,No Aplica,Regular,True,Top País,1155.0,5285,True
188251,2018,2020,18,False,Media página,False,False,False,False,No Aplica,Power,Promo,True,Top País,1802.0,5680,True
193837,2101,2021,1,False,Página,False,False,False,False,Plataforma inicial,Power,Promo,False,Paquete,1990.0,4686,True
198628,2102,2021,2,False,Media página,False,False,False,False,Plataforma interior,Power,Regular,True,Paquete,1056.0,5214,True
203813,2103,2021,3,True,Media página,False,False,False,False,No Aplica,No Aplica,Regular,True,Paquete,617.0,5209,True
209075,2104,2021,4,False,Media página,False,False,False,False,No Aplica,No Aplica,Regular,True,Paquete,893.0,5103,True
214042,2105,2021,5,True,Página,False,False,False,False,Plataforma inicial,Power,Regular,True,Paquete,1160.0,5131,True
218955,2106,2021,6,False,Media página,False,False,False,False,Plataforma inicial,Power,Regular,True,Paquete,1103.0,4407,True
223372,2107,2021,7,False,Media página,False,False,False,False,No Aplica,Power,Promo,False,Paquete,1883.0,4176,True
227574,2108,2021,8,False,Media página,False,False,False,False,Plataforma inicial,Power,Promo,False,Paquete,1106.0,4269,True
231871,2109,2021,9,False,Media página,False,False,False,False,No Aplica,No Aplica,Regular,False,Paquete,469.0,4020,True
235837,2110,2021,10,False,Media página,False,False,False,False,No Aplica,Power,Promo,False,Paquete,2303.0,4041,True
239848,2111,2021,11,False,Media página,False,False,False,False,Plataforma inicial,Power,Regular,False,Paquete,488.0,3912,True
243819,2112,2021,12,False,Página,False,False,False,False,Plataforma final,Power,Regular,False,Paquete,654.0,3916,True
247679,2113,2021,13,False,Página,False,False,False,False,No Aplica,Power,Promo,False,Paquete,1685.0,3821,True
251508,2114,2021,14,False,Media página,False,False,False,False,No Aplica,No Aplica,Regular,False,Paquete,803.0,4257,True
255692,2115,2021,15,False,Página,False,False,False,False,No Aplica,No Aplica,Regular,False,Paquete,950.0,4171,True
259971,2116,2021,16,False,Media página,False,False,False,False,Plataforma inicial,Power,Regular,False,Paquete,565.0,4243,True
264210,2117,2021,17,False,Media página,False,False,False,False,Plataforma final,Power,Regular,False,Paquete,761.0,4709,True
268949,2118,2021,18,False,Página,False,False,False,False,No Aplica,Power,Promo,False,Paquete,2078.0,4960,True
